Date,Close,High,Low,Open,Volume
,VNQ,VNQ,VNQ,VNQ,VNQ
2016-05-06,58.71039581298828,58.75841728618084,57.7980872565048,58.06560705452759,3499300
2016-05-09,59.35519027709961,59.451222757493554,58.73097915453898,58.89560551616036,4568700
2016-05-10,59.34832763671875,59.55411450794565,59.14254599886939,59.48552062866253,4034800
2016-05-11,58.079315185546875,59.3140257895248,57.85295070258811,59.3140257895248,4063900
2016-05-12,58.41543960571289,58.6075045549652,57.67461317284479,58.14791458825161,3471000
2016-05-13,57.89411163330078,58.2576638600708,57.489398897180465,58.2576638600708,3991500
2016-05-16,58.44288635253906,58.614373701265265,57.8392527690391,57.88726901734729,3374900
2016-05-17,57.359073638916016,58.29882068783518,57.043537636841684,58.29882068783518,4308300
2016-05-18,56.46049118041992,57.18074011495529,55.8157023289144,57.11900195006847,4708500
2016-05-19,55.82940673828125,56.23411950046063,55.534448363600426,56.1037874736504,4316000
2016-05-20,56.275299072265625,56.37819254661874,55.9391852738663,56.04207351483992,3296100
2016-05-23,56.282142639160156,56.494785249295816,56.14494963796144,56.37131416490591,2744000
2016-05-24,56.98179626464844,57.07782872796166,56.42617912213956,56.63196072922071,2998500
2016-05-25,56.98179626464844,57.132705916534,56.41931816522383,57.132705916534,3250000
2016-05-26,57.09156036376953,57.263047682227665,56.74172476876919,56.872056805478216,3053400
2016-05-27,57.40022659301758,57.640307755164976,57.132706836142354,57.187584025598,3006900
2016-05-31,57.393367767333984,57.56485506571854,57.04353744666094,57.31105721347069,4810900
2016-06-01,57.441383361816406,57.58543206284991,57.13956927871729,57.194441236222694,4417500
2016-06-02,57.73634338378906,57.75692102261831,57.132709966830326,57.27675867201217,8043500
2016-06-03,57.96956253051758,58.47030246549439,57.68832087476567,58.29195945945209,4295200
2016-06-06,57.52371597290039,58.14792719328396,57.22189656814699,58.0244560943738,3231900
2016-06-07,57.873538970947266,58.04502628008242,57.612874911700324,57.777506496501765,2424600
2016-06-08,58.24396896362305,58.29198521467668,57.654052031604756,57.83239511644462,3099000
2016-06-09,58.37425994873047,58.484014302810294,58.03814639776838,58.24393319498023,4132700
2016-06-10,58.09990310668945,58.3194066714277,57.85296094218671,58.15478030621846,2538400
2016-06-13,58.113609313964844,58.55261632476876,58.0450154497848,58.12047027039576,3250300
2016-06-14,57.96272659301758,58.31941799244178,57.75008394528654,58.113636304328175,3437300
2016-06-15,58.51149368286133,58.71041442990206,58.01074825168274,58.093064074629424,2829400
2016-06-16,58.840728759765625,58.861306400950646,58.14106279258649,58.42916023593215,2827100
2016-06-17,58.74470901489258,58.875041081824826,58.29198511053553,58.875041081824826,4408400
2016-06-20,58.826995849609375,59.53352258008391,58.751541030493044,59.0259217151546,3987000
2016-06-21,59.05126190185547,59.22429068207427,58.78133742714769,59.04433927212931,3614700
2016-06-22,58.96129608154297,59.18277273621863,58.81595252195144,59.1758501056419,3994500
2016-06-23,59.258888244628906,59.480364833575415,59.13430733332034,59.23120301095829,1672700
2016-06-24,58.73286819458008,59.32808740424003,57.81927677889089,58.227622016922716,5661700
2016-06-27,58.774410247802734,58.86438858601982,57.93695165002019,58.49756316479902,4769800
2016-06-28,60.013301849365234,60.02022447913199,58.933603944202595,59.15508057296466,5128700
2016-06-29,60.74001693725586,60.823067361970324,60.22093066111577,60.29706373738314,4395600
2016-06-30,61.36983108520508,61.36983108520507,60.40086910328966,60.8991927100129,6555800
2016-07-01,61.39059829711914,61.875081964654285,61.21065219928629,61.577472303877315,4731800
2016-07-05,62.06888198852539,62.06888198852539,61.321396417929826,61.39752950088414,3808400
2016-07-06,61.79894256591797,62.04810436247634,61.494410307809325,61.97889392574743,4577200
2016-07-07,61.162208557128906,61.77819052604992,60.82306838245919,61.73666003257723,5342000
2016-07-08,62.151920318603516,62.17960026791903,61.42519755925652,61.5013306209183,2663400
2016-07-11,62.56720733642578,62.69870561734759,61.826644375961514,62.20038717102094,3381400
2016-07-12,62.5602912902832,62.66410962435044,62.06889014147945,62.574136551049406,3727600
2016-07-13,62.90632629394531,62.90632629394531,62.42184794950048,62.70561232827019,4902800
2016-07-14,62.34572982788086,62.87173350495374,62.2003862897092,62.71254998808825,3060500
2016-07-15,62.366485595703125,62.414933436446525,61.91660977141803,62.3388003609328,3345600
2016-07-18,62.53258514404297,62.55334774783135,62.29034596581508,62.456452076540195,2699700
2016-07-19,62.83713912963867,62.83713912963867,62.241919640055066,62.532606754385704,1916500
2016-07-20,62.84403991699219,63.01014602738657,62.64332594674072,62.947852935727404,2100600
2016-07-21,62.968624114990234,62.968624114990234,62.42876998722679,62.705617039316635,2179600
2016-07-22,63.5223503112793,63.709224425562624,62.77486441498885,62.906368030194045,2482900
2016-07-25,63.40462112426758,63.77144103010486,63.19006728057004,63.54304193689524,2374700
2016-07-26,63.09321594238281,63.65382749157256,62.94094977336356,63.46003610570051,2460200
2016-07-27,62.60179901123047,63.07936004618429,62.08271276642618,63.07936004618429,3935200
2016-07-28,63.1832160949707,63.432378063752054,62.3595970714756,62.50494067319447,2853100
2016-07-29,63.98603057861328,64.311325478263,63.12088681589315,63.356208665170634,3502600
2016-08-01,64.12445068359375,64.1936611219813,63.85452627758974,63.90297411250282,3335100
2016-08-02,63.10013198852539,64.0483315702976,62.98247368959267,63.93759062041803,3877100
2016-08-03,62.73332595825195,63.141676702356094,62.39419096361721,62.87866952738113,3829400
2016-08-04,62.477210998535156,62.927086748971725,62.366475358050096,62.80942848082581,2649700
2016-08-05,62.51874542236328,62.70561413763611,62.29726884702382,62.51182279426634,2941600
2016-08-08,62.62950134277344,62.92019373234228,62.3664994745557,62.477235157861145,2240200
2016-08-09,62.968624114990234,62.968624114990234,62.24882389172396,62.73330227256745,3474300
2016-08-10,62.89940643310547,63.25930917374119,62.698692458600576,63.14856824418615,5302900
2016-08-11,62.186519622802734,62.90631971673152,61.85430744432321,62.87863448845533,4788300
2016-08-12,62.44953536987305,63.02398677544736,62.13808046859636,62.32495446544599,2972100
2016-08-15,62.387237548828125,62.760980233781574,62.35955231878517,62.546426301470746,2961400
2016-08-16,61.639766693115234,62.25574868546654,61.55671626384834,62.17961560502591,4166800
